Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pemrakarsa,,,,2022-08-18 00:39:30,2022-08-18 00:44:31,5m - 1.054s,FAILED
,,,,,,,
Test Cases/00. Login,,,,2022-08-18 00:39:31,2022-08-18 00:40:15,44.210s,PASSED
try,,,,2022-08-18 00:39:32,2022-08-18 00:40:02,29.852s,PASSED
"callTestCase(findTestCase(""Test Cases/Create User Tester""), [:], STOP_ON_FAILURE)",,,,2022-08-18 00:40:02,2022-08-18 00:40:04,2.456s,PASSED
"setText(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/tv_username""]), ""00251612"", 0)",,,,2022-08-18 00:40:04,2022-08-18 00:40:08,3.399s,PASSED
"setText(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/tv_password""]), ""P@ssw0rd"", 0)",,,,2022-08-18 00:40:08,2022-08-18 00:40:10,2.079s,PASSED
"tap(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/btn_login""]), 0)",,,,2022-08-18 00:40:10,2022-08-18 00:40:11,1.056s,PASSED
"tap(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/cBox""]), 0)",,,,2022-08-18 00:40:11,2022-08-18 00:40:15,3.497s,PASSED
"tap(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/btn_yes""]), 0)",,,,2022-08-18 00:40:15,2022-08-18 00:40:15,0.828s,PASSED
,,,,,,,
Test Cases/01. Create Data Pemasaran,,,,2022-08-18 00:40:15,2022-08-18 00:42:47,2m - 31.907s,PASSED
"tap(findTestObject(""text"", [""text"":""Pemasaran""]), 0)",,,,2022-08-18 00:40:17,2022-08-18 00:40:19,2.258s,PASSED
"tap(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/btn_tambah_data_cpp""]), 0)",,,,2022-08-18 00:40:19,2022-08-18 00:40:22,3.477s,PASSED
"tap(findTestObject(""text"", [""text"":""SME""]), 0)",,,,2022-08-18 00:40:22,2022-08-18 00:40:25,2.542s,PASSED
"tap(findTestObject(""text"", [""text"":""PRIBADI""]), 0)",,,,2022-08-18 00:40:25,2022-08-18 00:40:26,1.261s,PASSED
"tap(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/btn_cam""]), 0)",,,,2022-08-18 00:40:26,2022-08-18 00:40:30,4.041s,PASSED
